TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1545632048231	126.814957	119.663017	-0.605529	0.897995	0.011981	-0.007602	-0.439777	1.000000	-0.500000	0.000000	1	0	6239.061523	11.829917	img__0_1545632048226768600.png
1545632048370	127.276283	119.021156	-0.599232	0.889125	0.011363	-0.008338	-0.457447	1.000000	-0.500000	0.000000	1	0	6427.787598	11.900357	img__0_1545632048366355700.png
1545632048514	127.712738	118.354439	-0.600287	0.879559	0.012152	-0.008534	-0.475558	1.000000	-0.500000	0.000000	0	0	6643.485840	11.987841	img__0_1545632048504201700.png
1545632048652	128.126953	117.671494	-0.597638	0.869523	0.011025	-0.007550	-0.493711	1.000000	-0.500000	0.000000	0	0	6491.144043	11.954988	img__0_1545632048648737300.png
1545632048797	128.510208	116.971481	-0.594235	0.858738	0.012146	-0.006412	-0.512230	1.000000	-0.500000	0.000000	0	0	6342.295898	11.922668	img__0_1545632048792160700.png
1545632048940	128.860992	116.260468	-0.594968	0.847866	0.012552	-0.007588	-0.530008	1.000000	-0.500000	0.000000	2	0	5844.065918	11.951077	img__0_1545632048935246500.png
1545632049090	129.185852	115.527214	-0.595325	0.836707	0.013163	-0.007604	-0.547440	1.000000	-0.500000	0.000000	2	0	5838.623535	12.143221	img__0_1545632049081808000.png
1545632049233	129.485336	114.769608	-0.595550	0.825460	0.013436	-0.007666	-0.564249	1.000000	-0.500000	0.000000	2	0	5836.191406	12.335865	img__0_1545632049230688700.png
1545632049391	129.758499	113.988785	-0.595710	0.813957	0.013516	-0.007767	-0.580716	1.000000	-0.500000	0.000000	2	0	5836.694336	12.526796	img__0_1545632049386657700.png
1545632049537	130.004150	113.185829	-0.595826	0.802082	0.013503	-0.007913	-0.597009	1.000000	-0.500000	0.000000	2	0	5839.763184	12.715208	img__0_1545632049534891300.png
1545632049698	130.220978	112.361870	-0.595910	0.789781	0.013456	-0.008116	-0.613187	1.000000	-0.500000	0.000000	2	0	5845.302246	12.900578	img__0_1545632049695716200.png
1545632049853	130.407532	111.518158	-0.595971	0.777032	0.013406	-0.008381	-0.629262	1.000000	-0.500000	0.000000	2	0	5853.289063	13.082551	img__0_1545632049849743900.png
1545632050025	130.562317	110.655983	-0.596014	0.763827	0.013368	-0.008706	-0.645223	1.000000	-0.500000	0.000000	2	0	5863.689453	13.260917	img__0_1545632050019374500.png
1545632050183	130.683914	109.776756	-0.596044	0.750167	0.013343	-0.009088	-0.661052	1.000000	-0.500000	0.000000	2	0	5876.442383	13.435561	img__0_1545632050180665300.png
1545632050357	130.770859	108.881981	-0.596064	0.736054	0.013328	-0.009518	-0.676725	1.000000	-0.500000	0.000000	2	0	5891.452637	13.606454	img__0_1545632050353222600.png
1545632050524	130.821823	107.973267	-0.596076	0.721492	0.013315	-0.009989	-0.692222	1.000000	-0.500000	0.000000	2	0	5908.608887	13.773613	img__0_1545632050519024700.png
1545632050705	130.835449	107.052322	-0.596082	0.706487	0.013300	-0.010492	-0.707523	1.000000	-0.500000	0.000000	2	0	5927.789063	13.937083	img__0_1545632050698616600.png
1545632050864	130.810577	106.120934	-0.596085	0.691044	0.013275	-0.011019	-0.722607	1.000000	0.000000	0.000000	2	0	5943.579102	14.110671	img__0_1545632050862696100.png
