TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1545862605537	45.674900	84.471909	9.660615	0.521608	0.035982	0.013507	0.852319	1.000000	0.000000	0.000000	1	0	794.105957	2.480513	img__0_1545862605535695300.png
1545862605789	45.579353	84.667442	9.675488	0.522161	0.035620	0.012854	0.852006	1.000000	0.000000	0.000000	1	0	777.303467	2.455873	img__0_1545862605785876700.png
1545862605915	45.481609	84.870430	9.688955	0.522276	0.036456	0.014078	0.851880	1.000000	0.500000	0.000000	1	0	977.073547	2.429002	img__0_1545862605912639700.png
1545862606022	45.375420	85.062126	9.699170	0.518262	0.036018	0.015485	0.854323	0.000000	0.000000	0.000000	1	0	927.238281	2.466171	img__0_1545862606019725500.png
1545862606122	45.279930	85.242462	9.707529	0.516150	0.036212	0.017621	0.855551	0.000000	0.000000	0.000000	1	0	808.207825	2.443026	img__0_1545862606120508900.png
1545862606221	45.187119	85.420822	9.714033	0.515523	0.035528	0.019453	0.855918	0.000000	0.000000	0.000000	1	0	721.252136	2.418688	img__0_1545862606218561300.png
1545862606314	45.094189	85.598045	9.722207	0.515060	0.034617	0.019133	0.856241	1.000000	0.000000	0.000000	1	0	813.737854	2.345601	img__0_1545862606312377400.png
1545862606413	44.996883	85.782852	9.730244	0.514408	0.033639	0.017739	0.856702	1.000000	0.000000	0.000000	1	0	1140.706055	2.365806	img__0_1545862606407953500.png
1545862606503	44.910694	85.947540	9.734610	0.514230	0.032748	0.016339	0.856871	1.000000	0.000000	0.000000	1	0	1434.699707	2.476110	img__0_1545862606500720200.png
1545862606597	44.814121	86.132950	9.743505	0.514135	0.032277	0.015924	0.856954	1.000000	0.000000	0.000000	1	0	1721.527100	2.657548	img__0_1545862606595358400.png
1545862606715	44.707344	86.340584	9.755215	0.513119	0.031397	0.016529	0.857584	1.000000	0.000000	0.000000	1	0	2001.302490	2.843067	img__0_1545862606705231100.png
1545862606808	44.586563	86.574707	9.765224	0.511732	0.030452	0.017156	0.858434	1.000000	0.000000	0.000000	1	0	2282.380859	3.078031	img__0_1545862606802246800.png
1545862606907	44.458290	86.820351	9.771543	0.510335	0.028414	0.018343	0.859311	1.000000	0.000000	0.000000	1	0	2547.114014	3.273246	img__0_1545862606902487900.png
1545862607015	44.319324	87.085838	9.782510	0.508863	0.027115	0.020963	0.860165	1.000000	0.000000	0.000000	1	0	2807.646240	3.524769	img__0_1545862607001011200.png
1545862607105	44.169151	87.360992	9.789902	0.508047	0.026880	0.022306	0.860621	1.000000	0.500000	0.000000	1	0	3053.239502	3.724257	img__0_1545862607101077600.png
1545862607205	43.989578	87.646584	9.796748	0.501977	0.023967	0.019354	0.864332	1.000000	0.500000	0.000000	1	0	3304.465088	3.937611	img__0_1545862607201161100.png
1545862607297	43.778778	87.938377	9.807470	0.488053	0.020217	0.014462	0.872460	1.000000	0.000000	0.000000	1	0	3547.453125	4.156107	img__0_1545862607295126200.png
1545862607396	43.564960	88.234863	9.825869	0.476490	0.020512	0.011986	0.878859	0.000000	0.000000	0.000000	1	0	3242.569824	4.408800	img__0_1545862607390937700.png
1545862607495	43.339539	88.577751	9.847666	0.473829	0.025020	0.013343	0.880160	0.000000	0.000000	0.000000	1	0	2608.083740	4.616498	img__0_1545862607491194800.png
1545862607584	43.144775	88.873360	9.853516	0.473682	0.027824	0.014656	0.880134	1.000000	0.000000	0.000000	1	0	2247.219238	4.733848	img__0_1545862607581670300.png
1545862607685	42.927578	89.204727	9.864560	0.473918	0.030244	0.016760	0.879890	1.000000	0.000000	0.000000	1	0	2234.631592	4.812981	img__0_1545862607681123200.png
1545862607788	42.680038	89.578903	9.874931	0.474249	0.030866	0.016934	0.879686	1.000000	0.000000	0.000000	1	0	2547.775391	4.909112	img__0_1545862607784714500.png
1545862607889	42.443542	89.938904	9.883242	0.474784	0.030606	0.015828	0.879428	1.000000	0.000000	0.000000	1	0	2848.429199	5.050729	img__0_1545862607885922600.png
1545862607986	42.197491	90.316757	9.900810	0.474755	0.027265	0.017024	0.879531	1.000000	0.500000	0.000000	1	0	3130.314941	5.226203	img__0_1545862607983201200.png
1545862608086	41.918427	90.699509	9.917920	0.465621	0.021966	0.018174	0.884525	0.000000	0.500000	0.000000	1	0	2886.019287	5.308051	img__0_1545862608081490700.png
1545862608177	41.606289	91.074409	9.930937	0.448974	0.020309	0.018537	0.893122	0.000000	0.500000	0.000000	1	0	2401.063477	5.281477	img__0_1545862608174475600.png
1545862608296	41.218689	91.511505	9.929052	0.430840	0.019119	0.026475	0.901837	0.000000	0.000000	0.000000	1	0	2087.101563	5.149848	img__0_1545862608275777300.png
1545862608395	40.944061	91.838066	9.931562	0.427414	0.017403	0.031220	0.903349	0.000000	0.500000	0.000000	1	0	1809.027588	5.065326	img__0_1545862608393327900.png
1545862608516	40.655018	92.173615	9.934238	0.423366	0.015173	0.032698	0.905241	0.000000	0.500000	0.000000	1	0	1578.385132	4.896882	img__0_1545862608507367100.png
1545862608600	40.372784	92.472382	9.936855	0.411988	0.012340	0.034351	0.910458	0.000000	0.500000	0.000000	1	0	1394.949707	4.748085	img__0_1545862608596750000.png
1545862608707	40.073105	92.753868	9.940879	0.394538	0.010861	0.038548	0.918006	1.000000	0.000000	0.000000	1	0	1294.731323	4.593874	img__0_1545862608702676400.png
1545862608806	39.776417	93.027657	9.935713	0.382404	0.011945	0.043845	0.922877	1.000000	0.000000	0.000000	1	0	1474.803223	4.441798	img__0_1545862608802092500.png
1545862608906	39.498291	93.295448	9.921689	0.380001	0.009962	0.046034	0.923786	1.000000	0.000000	0.000000	1	0	1856.612793	4.369740	img__0_1545862608901487300.png
1545862609005	39.217918	93.572266	9.911533	0.379492	0.009230	0.046263	0.923992	1.000000	0.000000	0.000000	1	0	2211.609863	4.401801	img__0_1545862609001742700.png
1545862609123	38.900017	93.877792	9.904648	0.376876	0.006266	0.046023	0.925098	0.000000	0.500000	0.000000	1	0	2463.648926	4.498322	img__0_1545862609118314500.png
1545862609215	38.597294	94.140800	9.893378	0.367100	0.002463	0.046451	0.929018	0.000000	0.500000	0.000000	1	0	2135.357910	4.528457	img__0_1545862609213161600.png
1545862609323	38.270390	94.387947	9.885038	0.350076	-0.001037	0.048099	0.935485	0.000000	0.500000	0.000000	1	0	1783.375732	4.501644	img__0_1545862609319659900.png
