TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1546452698542	0.806208	-119.963211	-0.600778	0.713737	0.001221	-0.000125	0.700413	1.000000	0.000000	0.000000	1	0	5970.082520	7.732456	img__0_1546452698539997100.png
1546452698728	0.816183	-119.439774	-0.594072	0.713910	-0.001754	0.002480	0.700231	1.000000	0.000000	0.000000	0	0	6026.075195	7.630045	img__0_1546452698724699700.png
1546452698912	0.825718	-118.927963	-0.595384	0.714047	-0.001181	0.001618	0.700095	1.000000	0.000000	0.000000	0	0	5887.890625	7.672418	img__0_1546452698910214600.png
1546452699095	0.835273	-118.414078	-0.595450	0.713721	-0.000874	0.001176	0.700429	1.000000	0.000000	0.000000	2	0	5409.611816	7.587652	img__0_1546452699091170600.png
1546452699277	0.844911	-117.902588	-0.595540	0.713980	-0.000866	0.001078	0.700165	1.000000	0.000000	0.000000	2	0	5354.671875	7.937611	img__0_1546452699274334800.png
1546452699457	0.854911	-117.370575	-0.595634	0.713553	-0.000916	0.001099	0.700600	1.000000	0.000000	0.000000	2	0	5293.208008	8.151578	img__0_1546452699455841500.png
1546452699641	0.865713	-116.820984	-0.595834	0.713844	-0.001265	0.001448	0.700302	1.000000	0.000000	0.000000	2	0	5240.623535	8.456635	img__0_1546452699637115200.png
1546452699829	0.874213	-116.253754	-0.595902	0.712855	-0.001470	0.001359	0.701309	1.000000	0.500000	0.000000	2	0	5196.687988	8.676596	img__0_1546452699824700700.png
1546452700014	0.875131	-115.669617	-0.596024	0.710346	-0.002039	0.001231	0.703849	1.000000	0.000000	0.000000	2	0	5157.260742	8.963600	img__0_1546452700009304300.png
1546452700201	0.879937	-115.068413	-0.596053	0.709583	-0.001991	0.001292	0.704618	1.000000	0.000000	0.000000	2	0	5118.915039	9.195992	img__0_1546452700196743300.png
1546452700385	0.882461	-114.450546	-0.596117	0.708888	-0.002171	0.001330	0.705316	1.000000	0.500000	0.000000	2	0	5092.045410	9.452168	img__0_1546452700380811600.png
1546452700560	0.877239	-113.816635	-0.596128	0.706170	-0.002422	0.001060	0.708037	1.000000	0.000000	0.000000	2	0	5066.218262	9.686429	img__0_1546452700556588700.png
