TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1545450072479	30.248182	99.494606	9.570039	0.293900	-0.002643	0.051110	0.954465	0.000000	0.000000	0.000000	0	0	895.439880	6.544513	img__0_1545450072476104600.png
1545450072580	29.841562	99.766411	9.551758	0.294253	-0.002038	0.051230	0.954351	0.000000	0.000000	0.000000	0	0	872.326721	6.389390	img__0_1545450072574019900.png
1545450072669	29.396786	100.067238	9.523398	0.294792	-0.002369	0.051705	0.954159	1.000000	0.000000	0.000000	1	0	978.291443	6.361533	img__0_1545450072667428200.png
1545450072758	28.953514	100.366386	9.506445	0.295309	-0.003082	0.048577	0.954161	1.000000	0.000000	0.000000	1	0	1402.707275	5.874568	img__0_1545450072756507900.png
1545450072864	28.571718	100.628189	9.496181	0.296430	-0.004172	0.043898	0.954036	1.000000	0.000000	0.000000	1	0	1840.062378	5.721122	img__0_1545450072855892700.png
1545450072954	28.169569	100.902908	9.478642	0.293896	-0.004944	0.040032	0.954986	1.000000	0.500000	0.000000	1	0	2294.256104	5.648168	img__0_1545450072949103800.png
1545450073053	27.731161	101.170868	9.456357	0.285560	-0.007333	0.037057	0.957616	1.000000	0.500000	0.000000	1	0	2672.361816	5.497247	img__0_1545450073048600700.png
1545450073156	27.269716	101.402184	9.428467	0.262447	-0.009673	0.034860	0.964268	1.000000	0.500000	0.000000	1	0	3058.766602	5.435722	img__0_1545450073153601100.png
1545450073251	26.832157	101.599350	9.406914	0.240550	-0.014934	0.033944	0.969928	1.000000	0.500000	0.000000	1	0	3517.091309	5.186734	img__0_1545450073248257000.png
1545450073364	26.409248	101.768143	9.388525	0.221464	-0.016616	0.035071	0.974396	1.000000	0.000000	0.000000	1	0	3757.550537	5.318429	img__0_1545450073357171000.png
1545450073451	25.998827	101.931778	9.368926	0.210085	-0.014985	0.038735	0.976801	1.000000	0.000000	0.000000	1	0	3975.316895	5.587233	img__0_1545450073449183100.png
1545450073552	25.561699	102.124382	9.354960	0.208438	-0.010794	0.043067	0.977027	1.000000	0.000000	0.000000	1	0	4184.195313	5.862979	img__0_1545450073548119600.png
